customer_id,age,gender,location,favorite_category,total_spend,average_order_value,avg_review_rating,avg_previous_purchases,avg_annual_frequency,discount_dependency_score,promo_dependency_score,subscription_score,preferred_payment_method,preferred_shipping_type,satisfaction_flag,total_spend_norm,average_order_value_norm,avg_previous_purchases_norm,avg_annual_frequency_norm,avg_review_rating_norm,discount_dependency_score_norm,promo_dependency_score_norm,subscription_score_norm,loyalty_score_1,loyalty_score_2,final_loyalty_score,value_tier,promo_dependency_segment,customer_segment,cluster
15,64,Male,New York,Outerwear,53,53.0,4.7,34.0,52.0,1.0,1.0,1.0,Debit Card,Free Shipping,High Satisfaction,0.4125000000000001,0.4125000000000001,0.673469387755102,0.9999999999999999,0.8800000000000001,1.0,1.0,1.0,0.6931377551020408,0.6220408163265306,0.6646989795918368,Medium Value,Highly Promo Dependent,Potential Loyalist,2
16,64,Male,Rhode Island,Clothing,81,81.0,2.8,8.0,12.0,1.0,1.0,1.0,PayPal,Store Pickup,Low Satisfaction,0.7625,0.7625,0.14285714285714285,0.21568627450980393,0.11999999999999988,1.0,1.0,1.0,0.3505987394957983,0.2728571428571428,0.3195021008403361,High Value,Highly Promo Dependent,At Risk,2
17,25,Male,Alabama,Accessories,36,36.0,4.1,44.0,26.0,1.0,1.0,1.0,Debit Card,Next Day Air,High Satisfaction,0.2,0.2,0.8775510204081631,0.49019607843137253,0.6399999999999999,1.0,1.0,1.0,0.558079231692677,0.6232653061224489,0.5841536614645858,Low Value,Highly Promo Dependent,Potential Loyalist,2
18,53,Male,Mississippi,Clothing,38,38.0,4.7,36.0,4.0,1.0,1.0,1.0,Venmo,2-Day Shipping,High Satisfaction,0.22500000000000003,0.22500000000000003,0.7142857142857142,0.058823529411764705,0.8800000000000001,1.0,1.0,1.0,0.3708613445378151,0.6342857142857143,0.4762310924369748,Low Value,Highly Promo Dependent,Bargain Hunter,2
19,52,Male,Montana,Clothing,48,48.0,4.6,17.0,52.0,1.0,1.0,1.0,Cash,Free Shipping,High Satisfaction,0.3500000000000001,0.3500000000000001,0.32653061224489793,0.9999999999999999,0.8399999999999999,1.0,1.0,1.0,0.5356122448979591,0.5079591836734694,0.5245510204081631,Medium Value,Highly Promo Dependent,Potential Loyalist,2
20,66,Male,Rhode Island,Clothing,90,90.0,3.3,46.0,26.0,1.0,1.0,1.0,Debit Card,Standard,Neutral,0.875,0.875,0.9183673469387754,0.49019607843137253,0.32000000000000006,1.0,1.0,1.0,0.7769057623049218,0.5555102040816327,0.6883475390156061,Premium Value,Highly Promo Dependent,Occasional Customer,2
21,21,Male,Louisiana,Clothing,51,51.0,2.8,50.0,4.0,1.0,1.0,1.0,Cash,Express,Low Satisfaction,0.38750000000000007,0.38750000000000007,1.0,0.058823529411764705,0.11999999999999988,1.0,1.0,1.0,0.5338970588235296,0.53,0.5323382352941177,Medium Value,Highly Promo Dependent,Bargain Hunter,2
22,31,Male,North Carolina,Clothing,62,62.0,4.1,22.0,4.0,1.0,1.0,1.0,Debit Card,Store Pickup,High Satisfaction,0.525,0.525,0.4285714285714285,0.058823529411764705,0.6399999999999999,1.0,1.0,1.0,0.3465756302521008,0.4885714285714285,0.40337394957983186,High Value,Highly Promo Dependent,Occasional Customer,2
23,56,Male,California,Clothing,37,37.0,3.2,32.0,1.0,1.0,1.0,1.0,Debit Card,Store Pickup,Neutral,0.21250000000000002,0.21250000000000002,0.6326530612244897,0.0,0.28000000000000025,1.0,1.0,1.0,0.31681122448979593,0.45979591836734696,0.37400510204081633,Low Value,Highly Promo Dependent,Bargain Hunter,2
24,31,Male,Oklahoma,Clothing,88,88.0,4.4,40.0,52.0,1.0,1.0,1.0,Credit Card,Express,High Satisfaction,0.8500000000000001,0.8500000000000001,0.7959183673469387,0.9999999999999999,0.7600000000000002,1.0,1.0,1.0,0.8733673469387754,0.6287755102040817,0.7755306122448979,Premium Value,Highly Promo Dependent,Discount Loyalist,2
25,18,Male,Florida,Outerwear,22,22.0,2.9,16.0,52.0,1.0,1.0,1.0,Debit Card,Store Pickup,Low Satisfaction,0.025000000000000022,0.025000000000000022,0.3061224489795918,0.9999999999999999,0.15999999999999992,1.0,1.0,1.0,0.42994897959183664,0.33183673469387753,0.390704081632653,Low Value,Highly Promo Dependent,Bargain Hunter,2
26,18,Male,Texas,Clothing,25,25.0,3.6,14.0,1.0,1.0,1.0,1.0,PayPal,Express,Neutral,0.0625,0.0625,0.26530612244897955,0.0,0.44000000000000017,1.0,1.0,1.0,0.12487244897959184,0.3895918367346939,0.23076020408163267,Low Value,Highly Promo Dependent,Bargain Hunter,2
27,38,Male,Nevada,Accessories,20,20.0,3.6,13.0,1.0,1.0,1.0,1.0,Credit Card,Next Day Air,Neutral,0.0,0.0,0.24489795918367344,0.0,0.44000000000000017,1.0,1.0,1.0,0.09795918367346938,0.3834693877551021,0.21216326530612245,Low Value,Highly Promo Dependent,Bargain Hunter,2
28,56,Male,Kentucky,Clothing,56,56.0,5.0,7.0,4.0,1.0,1.0,1.0,Bank Transfer,Next Day Air,High Satisfaction,0.45000000000000007,0.45000000000000007,0.12244897959183673,0.058823529411764705,1.0,1.0,1.0,1.0,0.2016266506602641,0.48673469387755103,0.3156698679471789,Medium Value,Highly Promo Dependent,Bargain Hunter,2
29,54,Male,North Carolina,Accessories,94,94.0,4.4,41.0,4.0,1.0,1.0,1.0,PayPal,Free Shipping,High Satisfaction,0.925,0.925,0.8163265306122448,0.058823529411764705,0.7600000000000002,1.0,1.0,1.0,0.6216776710684274,0.6348979591836734,0.6269657863145258,Premium Value,Highly Promo Dependent,Potential Loyalist,2
30,31,Male,Wyoming,Clothing,48,48.0,4.1,14.0,52.0,1.0,1.0,1.0,Credit Card,Store Pickup,High Satisfaction,0.3500000000000001,0.3500000000000001,0.26530612244897955,0.9999999999999999,0.6399999999999999,1.0,1.0,1.0,0.5111224489795918,0.4395918367346938,0.4825102040816326,Medium Value,Highly Promo Dependent,Bargain Hunter,2
31,57,Male,North Carolina,Accessories,31,31.0,4.7,16.0,12.0,1.0,1.0,1.0,Credit Card,Standard,High Satisfaction,0.1375,0.1375,0.3061224489795918,0.21568627450980393,0.8800000000000001,1.0,1.0,1.0,0.22840486194477788,0.5118367346938776,0.3417776110444178,Low Value,Highly Promo Dependent,Bargain Hunter,2
32,33,Male,West Virginia,Clothing,79,79.0,4.7,45.0,12.0,1.0,1.0,1.0,Venmo,Store Pickup,High Satisfaction,0.7375,0.7375,0.8979591836734693,0.21568627450980393,0.8800000000000001,1.0,1.0,1.0,0.645139555822329,0.6893877551020409,0.6628388355342137,High Value,Highly Promo Dependent,Potential Loyalist,2
33,36,Male,Kansas,Outerwear,67,67.0,4.9,37.0,1.0,1.0,1.0,1.0,Venmo,Free Shipping,High Satisfaction,0.5875,0.5875,0.7346938775510203,0.0,0.9600000000000002,1.0,1.0,1.0,0.47012755102040815,0.6604081632653062,0.5462397959183674,High Value,Highly Promo Dependent,Potential Loyalist,2
34,54,Male,Colorado,Clothing,38,38.0,3.3,45.0,4.0,1.0,1.0,1.0,Cash,Store Pickup,Neutral,0.22500000000000003,0.22500000000000003,0.8979591836734693,0.058823529411764705,0.32000000000000006,1.0,1.0,1.0,0.44433073229291714,0.5493877551020407,0.4863535414165666,Low Value,Highly Promo Dependent,Bargain Hunter,2
35,36,Male,North Dakota,Clothing,91,91.0,4.6,38.0,4.0,1.0,1.0,1.0,PayPal,2-Day Shipping,High Satisfaction,0.8875,0.8875,0.7551020408163265,0.058823529411764705,0.8399999999999999,1.0,1.0,1.0,0.58593787515006,0.6365306122448979,0.6061749699879952,Premium Value,Highly Promo Dependent,Potential Loyalist,2
36,54,Male,Massachusetts,Clothing,33,33.0,4.0,48.0,26.0,1.0,1.0,1.0,Credit Card,2-Day Shipping,High Satisfaction,0.16250000000000003,0.16250000000000003,0.9591836734693877,0.49019607843137253,0.6000000000000001,1.0,1.0,1.0,0.5794822929171668,0.6377551020408163,0.6027914165666266,Low Value,Highly Promo Dependent,Potential Loyalist,2
37,35,Male,Illinois,Clothing,69,69.0,4.6,44.0,26.0,1.0,1.0,1.0,PayPal,Free Shipping,High Satisfaction,0.6125,0.6125,0.8775510204081631,0.49019607843137253,0.8399999999999999,1.0,1.0,1.0,0.6818292316926771,0.673265306122449,0.6784036614645859,High Value,Highly Promo Dependent,Potential Loyalist,2
38,35,Male,Indiana,Clothing,45,45.0,2.8,10.0,52.0,1.0,1.0,1.0,PayPal,Store Pickup,Low Satisfaction,0.3125,0.3125,0.18367346938775508,0.9999999999999999,0.11999999999999988,1.0,1.0,1.0,0.46721938775510197,0.2851020408163265,0.3943724489795918,Medium Value,Highly Promo Dependent,Bargain Hunter,2
39,29,Male,Florida,Clothing,37,37.0,,44.0,4.0,1.0,1.0,1.0,Venmo,2-Day Shipping,Unknown,0.21250000000000002,0.21250000000000002,0.8775510204081631,0.058823529411764705,,1.0,1.0,1.0,0.4324174669867947,,,Low Value,Highly Promo Dependent,Bargain Hunter,2
40,70,Male,Arizona,Clothing,60,60.0,4.2,18.0,12.0,1.0,1.0,1.0,Credit Card,Express,High Satisfaction,0.5,0.5,0.346938775510204,0.21568627450980393,0.6800000000000002,1.0,1.0,1.0,0.35348139255702277,0.47408163265306125,0.40172148859543816,Medium Value,Highly Promo Dependent,Occasional Customer,2
41,69,Male,Louisiana,Accessories,76,76.0,4.6,31.0,4.0,1.0,1.0,1.0,Debit Card,Next Day Air,High Satisfaction,0.7000000000000001,0.7000000000000001,0.6122448979591836,0.058823529411764705,0.8399999999999999,1.0,1.0,1.0,0.4725450180072029,0.593673469387755,0.5209963985594237,High Value,Highly Promo Dependent,Potential Loyalist,2
42,67,Male,Alaska,Accessories,39,39.0,4.5,40.0,1.0,1.0,1.0,1.0,Venmo,Standard,High Satisfaction,0.23750000000000004,0.23750000000000004,0.7959183673469387,0.0,0.8,1.0,1.0,1.0,0.3896173469387755,0.6387755102040815,0.4892806122448979,Low Value,Highly Promo Dependent,Bargain Hunter,2
43,20,Male,Tennessee,Outerwear,100,100.0,4.1,15.0,1.0,1.0,1.0,1.0,PayPal,Free Shipping,High Satisfaction,1.0,1.0,0.28571428571428564,0.0,0.6399999999999999,1.0,1.0,1.0,0.41428571428571426,0.4457142857142857,0.4268571428571428,Premium Value,Highly Promo Dependent,Occasional Customer,2
44,25,Male,Ohio,Accessories,69,69.0,3.7,19.0,26.0,1.0,1.0,1.0,PayPal,Store Pickup,Neutral,0.6125,0.6125,0.36734693877551017,0.49019607843137253,0.4800000000000002,1.0,1.0,1.0,0.4777475990396158,0.4302040816326531,0.4587301920768307,High Value,Highly Promo Dependent,Occasional Customer,2
45,39,Male,Kentucky,Accessories,53,53.0,4.6,45.0,52.0,1.0,1.0,1.0,PayPal,Free Shipping,High Satisfaction,0.4125000000000001,0.4125000000000001,0.8979591836734693,0.9999999999999999,0.8399999999999999,1.0,1.0,1.0,0.7829336734693877,0.6793877551020407,0.7415153061224489,Medium Value,Highly Promo Dependent,Discount Loyalist,2
46,50,Male,Tennessee,Clothing,21,21.0,2.9,25.0,1.0,1.0,1.0,1.0,PayPal,2-Day Shipping,Low Satisfaction,0.012500000000000011,0.012500000000000011,0.4897959183673469,0.0,0.15999999999999992,1.0,1.0,1.0,0.1996683673469388,0.38693877551020406,0.2745765306122449,Low Value,Highly Promo Dependent,Bargain Hunter,2
47,57,Male,California,Clothing,43,43.0,2.9,45.0,4.0,1.0,1.0,1.0,Cash,Store Pickup,Low Satisfaction,0.2875,0.2875,0.8979591836734693,0.058823529411764705,0.15999999999999992,1.0,1.0,1.0,0.46308073229291713,0.5093877551020407,0.4816035414165666,Medium Value,Highly Promo Dependent,Bargain Hunter,2
48,55,Male,Montana,Accessories,54,54.0,4.5,36.0,52.0,1.0,1.0,1.0,Cash,Free Shipping,High Satisfaction,0.42500000000000004,0.42500000000000004,0.7142857142857142,0.9999999999999999,0.8,1.0,1.0,1.0,0.7132142857142856,0.6142857142857143,0.6736428571428571,Medium Value,Highly Promo Dependent,Potential Loyalist,2
49,42,Male,Nevada,Clothing,55,55.0,2.7,38.0,12.0,1.0,1.0,1.0,Cash,Store Pickup,Low Satisfaction,0.4375,0.4375,0.7551020408163265,0.21568627450980393,0.08000000000000007,1.0,1.0,1.0,0.4979966986794718,0.446530612244898,0.47741026410564225,Medium Value,Highly Promo Dependent,Bargain Hunter,2
50,68,Male,New Jersey,Clothing,30,30.0,4.6,34.0,26.0,1.0,1.0,1.0,Debit Card,Next Day Air,High Satisfaction,0.125,0.125,0.673469387755102,0.49019607843137253,0.8399999999999999,1.0,1.0,1.0,0.45394657863145255,0.6120408163265305,0.5171842737094837,Low Value,Highly Promo Dependent,Potential Loyalist,2
51,49,Male,Maryland,Clothing,28,28.0,,39.0,26.0,1.0,1.0,1.0,Debit Card,Store Pickup,Unknown,0.10000000000000003,0.10000000000000003,0.7755102040816325,0.49019607843137253,,1.0,1.0,1.0,0.4872629051620648,,,Low Value,Highly Promo Dependent,Bargain Hunter,2
52,59,Male,Vermont,Clothing,59,59.0,4.7,7.0,4.0,1.0,1.0,1.0,Credit Card,2-Day Shipping,High Satisfaction,0.48750000000000004,0.48750000000000004,0.12244897959183673,0.058823529411764705,0.8800000000000001,1.0,1.0,1.0,0.21287665066026412,0.45673469387755106,0.3104198679471789,Medium Value,Highly Promo Dependent,Bargain Hunter,2
53,42,Male,Alaska,Clothing,20,20.0,2.6,26.0,52.0,1.0,1.0,1.0,Credit Card,Free Shipping,Low Satisfaction,0.0,0.0,0.510204081632653,0.9999999999999999,0.040000000000000036,1.0,1.0,1.0,0.5040816326530612,0.36306122448979594,0.4476734693877551,Low Value,Highly Promo Dependent,Bargain Hunter,2
54,29,Male,Mississippi,Clothing,24,24.0,3.9,35.0,52.0,1.0,1.0,1.0,Credit Card,Next Day Air,Neutral,0.050000000000000044,0.050000000000000044,0.693877551020408,0.9999999999999999,0.56,1.0,1.0,1.0,0.5925510204081632,0.5481632653061224,0.5747959183673469,Low Value,Highly Promo Dependent,Bargain Hunter,2
55,47,Male,New Mexico,Outerwear,94,94.0,4.2,35.0,26.0,1.0,1.0,1.0,Debit Card,Next Day Air,High Satisfaction,0.925,0.925,0.693877551020408,0.49019607843137253,0.6800000000000002,1.0,1.0,1.0,0.702109843937575,0.5781632653061224,0.652531212484994,Premium Value,Highly Promo Dependent,Potential Loyalist,2
56,40,Male,South Carolina,Outerwear,28,28.0,3.0,49.0,1.0,1.0,1.0,1.0,Credit Card,2-Day Shipping,Neutral,0.10000000000000003,0.10000000000000003,0.9795918367346937,0.0,0.20000000000000018,1.0,1.0,1.0,0.42183673469387756,0.5438775510204081,0.4706530612244898,Low Value,Highly Promo Dependent,Bargain Hunter,2
57,41,Male,Mississippi,Accessories,73,73.0,4.7,46.0,52.0,1.0,1.0,1.0,Credit Card,Store Pickup,High Satisfaction,0.6625000000000001,0.6625000000000001,0.9183673469387754,0.9999999999999999,0.8800000000000001,1.0,1.0,1.0,0.8660969387755101,0.6955102040816327,0.7978622448979591,High Value,Highly Promo Dependent,Discount Loyalist,2
58,21,Male,West Virginia,Outerwear,64,64.0,4.4,17.0,26.0,1.0,1.0,1.0,Debit Card,Store Pickup,High Satisfaction,0.55,0.55,0.32653061224489793,0.49019607843137253,0.7600000000000002,1.0,1.0,1.0,0.4426710684273709,0.48795918367346947,0.46078631452581037,High Value,Highly Promo Dependent,Occasional Customer,2
59,69,Male,Missouri,Clothing,54,54.0,4.2,29.0,12.0,1.0,1.0,1.0,Venmo,Free Shipping,High Satisfaction,0.42500000000000004,0.42500000000000004,0.5714285714285714,0.21568627450980393,0.6800000000000002,1.0,1.0,1.0,0.42077731092436976,0.5414285714285714,0.46903781512605036,Medium Value,Highly Promo Dependent,Bargain Hunter,2
60,63,Male,Louisiana,Accessories,79,79.0,4.6,4.0,52.0,1.0,1.0,1.0,Debit Card,Standard,High Satisfaction,0.7375,0.7375,0.061224489795918366,0.9999999999999999,0.8399999999999999,1.0,1.0,1.0,0.5457397959183673,0.4283673469387755,0.4987908163265306,High Value,Highly Promo Dependent,Occasional Customer,2
61,50,Male,Idaho,Clothing,37,37.0,4.0,17.0,52.0,1.0,1.0,1.0,Cash,Express,High Satisfaction,0.21250000000000002,0.21250000000000002,0.32653061224489793,0.9999999999999999,0.6000000000000001,1.0,1.0,1.0,0.4943622448979591,0.44795918367346943,0.47580102040816324,Low Value,Highly Promo Dependent,Bargain Hunter,2
62,55,Male,Texas,Accessories,68,68.0,4.7,21.0,4.0,1.0,1.0,1.0,Credit Card,Store Pickup,High Satisfaction,0.6000000000000001,0.6000000000000001,0.4081632653061224,0.058823529411764705,0.8800000000000001,1.0,1.0,1.0,0.3609123649459784,0.5424489795918368,0.43352701080432177,High Value,Highly Promo Dependent,Occasional Customer,2
63,30,Male,Mississippi,Footwear,21,21.0,3.8,31.0,26.0,1.0,1.0,1.0,Credit Card,Free Shipping,Neutral,0.012500000000000011,0.012500000000000011,0.6122448979591836,0.49019607843137253,0.52,1.0,1.0,1.0,0.3957067827130852,0.5136734693877552,0.44289345738295316,Low Value,Highly Promo Dependent,Bargain Hunter,2
64,33,Male,Arizona,Accessories,79,79.0,2.7,43.0,52.0,1.0,1.0,1.0,Credit Card,2-Day Shipping,Low Satisfaction,0.7375,0.7375,0.8571428571428571,0.9999999999999999,0.08000000000000007,1.0,1.0,1.0,0.8641071428571429,0.47714285714285715,0.7093214285714285,High Value,Highly Promo Dependent,Discount Loyalist,2
65,65,Male,Alabama,Footwear,83,83.0,4.8,18.0,26.0,1.0,1.0,1.0,Debit Card,Standard,High Satisfaction,0.7875000000000001,0.7875000000000001,0.346938775510204,0.49019607843137253,0.9199999999999999,1.0,1.0,1.0,0.5220843337334933,0.5340816326530612,0.5268832533013204,Premium Value,Highly Promo Dependent,Potential Loyalist,2
66,65,Male,New Jersey,Accessories,36,36.0,4.8,44.0,4.0,1.0,1.0,1.0,Venmo,2-Day Shipping,High Satisfaction,0.2,0.2,0.8775510204081631,0.058823529411764705,0.9199999999999999,1.0,1.0,1.0,0.4286674669867947,0.693265306122449,0.5345066026410564,Low Value,Highly Promo Dependent,Potential Loyalist,2
67,31,Male,Pennsylvania,Clothing,94,94.0,4.7,3.0,4.0,1.0,1.0,1.0,Venmo,2-Day Shipping,High Satisfaction,0.925,0.925,0.04081632653061225,0.058823529411764705,0.8800000000000001,1.0,1.0,1.0,0.31147358943577436,0.43224489795918375,0.3597821128451381,Premium Value,Highly Promo Dependent,Occasional Customer,2
68,45,Male,Connecticut,Outerwear,33,33.0,4.4,49.0,12.0,1.0,1.0,1.0,Debit Card,Store Pickup,High Satisfaction,0.16250000000000003,0.16250000000000003,0.9795918367346937,0.21568627450980393,0.7600000000000002,1.0,1.0,1.0,0.5052926170468187,0.6838775510204083,0.5767265906362545,Low Value,Highly Promo Dependent,Potential Loyalist,2
69,57,Male,Utah,Accessories,46,46.0,3.9,21.0,4.0,1.0,1.0,1.0,Cash,Next Day Air,Neutral,0.32500000000000007,0.32500000000000007,0.4081632653061224,0.058823529411764705,0.56,1.0,1.0,1.0,0.2784123649459784,0.46244897959183673,0.35202701080432175,Medium Value,Highly Promo Dependent,Bargain Hunter,2
70,48,Male,Tennessee,Accessories,70,70.0,4.4,5.0,52.0,1.0,1.0,1.0,Cash,Express,High Satisfaction,0.625,0.625,0.08163265306122448,0.9999999999999999,0.7600000000000002,1.0,1.0,1.0,0.5201530612244898,0.41448979591836743,0.47788775510204085,High Value,Highly Promo Dependent,Occasional Customer,2
71,22,Male,Alabama,Accessories,29,29.0,4.2,32.0,4.0,1.0,1.0,1.0,Debit Card,Express,High Satisfaction,0.11250000000000004,0.11250000000000004,0.6326530612244897,0.058823529411764705,0.6800000000000002,1.0,1.0,1.0,0.3044582833133253,0.5597959183673469,0.40659333733493397,Low Value,Highly Promo Dependent,Bargain Hunter,2
72,36,Male,Virginia,Clothing,48,48.0,2.9,34.0,1.0,1.0,1.0,1.0,Bank Transfer,Express,Low Satisfaction,0.3500000000000001,0.3500000000000001,0.673469387755102,0.0,0.15999999999999992,1.0,1.0,1.0,0.37438775510204086,0.4420408163265306,0.4014489795918368,Medium Value,Highly Promo Dependent,Bargain Hunter,2
73,18,Male,Georgia,Clothing,26,26.0,2.9,21.0,4.0,1.0,1.0,1.0,Bank Transfer,Store Pickup,Low Satisfaction,0.07500000000000001,0.07500000000000001,0.4081632653061224,0.058823529411764705,0.15999999999999992,1.0,1.0,1.0,0.20341236494597836,0.3624489795918367,0.2670270108043217,Low Value,Highly Promo Dependent,Bargain Hunter,2
74,48,Male,Hawaii,Clothing,85,85.0,2.7,43.0,26.0,1.0,1.0,1.0,Bank Transfer,Free Shipping,Low Satisfaction,0.8125,0.8125,0.8571428571428571,0.49019607843137253,0.08000000000000007,1.0,1.0,1.0,0.7336659663865546,0.47714285714285715,0.6310567226890756,Premium Value,Highly Promo Dependent,Occasional Customer,2
75,49,Male,Indiana,Accessories,58,58.0,4.5,3.0,12.0,1.0,1.0,1.0,Cash,Express,High Satisfaction,0.4750000000000001,0.4750000000000001,0.04081632653061225,0.21568627450980393,0.8,1.0,1.0,1.0,0.2235324129651861,0.41224489795918373,0.29901740696278517,Medium Value,Highly Promo Dependent,Bargain Hunter,2
76,64,Male,Utah,Accessories,85,85.0,2.7,21.0,1.0,1.0,1.0,1.0,Credit Card,Free Shipping,Low Satisfaction,0.8125,0.8125,0.4081632653061224,0.0,0.08000000000000007,1.0,1.0,1.0,0.40701530612244896,0.34244897959183673,0.381188775510204,Premium Value,Highly Promo Dependent,At Risk,2
77,50,Male,Delaware,Accessories,43,43.0,4.2,32.0,12.0,1.0,1.0,1.0,Venmo,Free Shipping,High Satisfaction,0.2875,0.2875,0.6326530612244897,0.21568627450980393,0.6800000000000002,1.0,1.0,1.0,0.40401710684273706,0.5597959183673469,0.46632863145258097,Medium Value,Highly Promo Dependent,Bargain Hunter,2
78,22,Male,Delaware,Clothing,53,53.0,3.3,36.0,26.0,1.0,1.0,1.0,Debit Card,Next Day Air,Neutral,0.4125000000000001,0.4125000000000001,0.7142857142857142,0.49019607843137253,0.32000000000000006,1.0,1.0,1.0,0.5565231092436975,0.4942857142857143,0.5316281512605042,Medium Value,Highly Promo Dependent,Bargain Hunter,2
